# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Username,Comment,vader_sentiment
Noushin Munir,Delish recipe,0
ALIFIYA PACHMARHIWALA,-,0
Sanyam Sharma,-,0
Vijaya Pai,-,0
Vikrant Bhise,In Pune they don't use BeetRoot.,0
Divya Parmar,-,0
Suman Metkari,-,0
Shree Gm,-,0
Madhu Makhija,From where should we get this big tawa,0
Amu Hald,Can you make maharashtrian masala bhat recipe..,0
Prasad Vayadande,Sir aapke sare ke sare bartan mujhe bahot pasand hai.,0
Ritu Sharma,-,0
Bhausaheb Kale,"So yami,",0
Simply Cooking Recipes,Rice kisi bhi form men hon is tarha juicy pasand hen mujhe ,0
DIPAK BHAI RATHVA,-,0
Pratiksha Lakhani,Can you give a jain recipe please...and which pav bhaji masala did you use??,0
Savita Awati,मस्त ,0
prince Asshu,Yummm,0
tushar,Mutton nihari please️️,0
Alpa Gohil, yammy ,0
alka shrivastav,-,0
Jyoti Verekar,मस्त ,0
Priya Hatkar,अरे काय भारी एकच नंबर ,0
Krish Patel,How many days we will stored garlic chutney??,0
Rajshree Shendkar,-,0
Vaishali Beri,Khup bhari,0
Rathod Dipak,Bohot badhiya ,0
tara purabiya,-,0
pushpa kishore,Ur videos are ASMR,0
vinod bhai jogi,aap ke video nhi dekhege jab bhi dekh te hai bhai bhukh lagti hai  khana khane ke baad bhi ,0
NeelManjiri Dixit,"""अप्रतिम""",0
dhanshree chaudhari,So simple recipe,0
ryan,disclaimer  :   hostelers...never watch this recipie at night..you won't be able to sleep..,0
Nirmal Gunjarkar,Sabke ghar pe basmati nhi hota sir normal rice ko  bhi video me dale ,0
Chef Ferah,Esselamu️ Aleyküm Merhaba. Bayramınız kutlu olsun. 🇹🇷,0
Gayatri Pawar,Wow... mauth watering... Jarur try karungi,0
Recipe's Train,Amazing.aapke upar annapurna maa ki kirpa hai.,0
Khushi Vora,Plsss tell substitute for jains also....where and what to add,0
bhawana tandale,"Sir mai apaki sab dish banati hu ghar me sabko pansad aati hai  aap bahot achhe tarike dikhate hai Thanku sir 
sir aap online class lete hai kya",0
Pooja Dubey,-,0
ShrishaArt,ब्यूटीफुल......,0
Borse Pranav,Wowwww,0
janhavi patkar,Kashmiri chili n garlic paste store Kitna din rahegi??,0
Samsung Mobi,Fruits sandwich recipe,0
Shashwat,Can we see some japnese or Korean food,0
Tasty Bites,Making this tonight,0
Amarjeet Singh,Wah,0
bhavya reddy,Can u show pahadi chicken tikka recepie,0
art study,Muh mein Pani aa gaya,0
Bushra Jaha,Recipe acchi lagi tava pulaoki,0
Urvish Poria,"This black pav bhaji from Maa anjani pav bhaji center, borivali",0
Kiran Shivalkar,Mast,0
Pooja Birazdar,Hoi Pooaj  ,0
Seema Patil,Mastta,0
Savita Pandav,Apke har videos mai dekhti  hu bahot assan tarikhese batateho Aap recipe banate wakt jo Food Processor use karte ho wo kon se Company ka hai,0
Charmi Gala,We dont have such kind of tawa than we make in khadi?? It's change the test,0
Santosh Shah,we  u frm Chennai sanjayot keer,0
Consequat studio,️YFL,0
Abhiram Das,So yamyy,0
Raj Kargutkar,Lay's chip kaise Nate hai ?️🇮🇳,0
BLINKER,Bina tava ke bana sakte hai kya??,0
S S,Legends know it's reuploaded,0
Momin Ambreen,Plzzzzz sir mutton tawa pulao ki recipe den street style,0
Kalyani Manthena,You are coking asowme,0
Manpreet Singh,pajji tuhada mixer bohat ghaint aa kehre brand da aa eh te kinne da aunda eh,0
Shabnam Sethi,Chef aap ka tawa Kaun sa brand hai?,0
Laxmi Ki Rasoi Se,Hello sir main aapke Sare video Dekhti hun aapke video bahut hi Pasand Aate Hain Mujhe Aap Se Mujhe bahut expiration milati hai,0
Aman Chabukswar,"I'm hungry, koi khilao do bana kar",0
swapnil deshmukh,Red chilli kitne time soak karna hai,0
Rimpal Hitesh,Very yammy recipe. Raita recipe shar karo na,0
Home & beyond,What is paw vaji masala?,0
Yuvansh Chaturvedi,Mixer  kaunsi use Karte hai app?,0
Amol Raut,"क्या बात है सर जी धडाधड व्हिडीओ डाल रहे हो चॅनेल पे, कोई competition चालू है क्या?",0
bhejafry 24x7,Goli VAda Pav ... bhi  banake dikhao ..... yaar,0
Neha,udit dal ke udin Vada ki recipe plzz bnno,0
Mukta Rathi,Look at the presentation...preparation..,0
Bushra Jaha,Dahi wale salad ki recip,0
Nadir Sayyad,"It's so spysi,",0
Sukhdev Verma,Bhi sabji Ka nam hindi me bolakar maja ayaga dekhna,0
HARSH DALWADI,Gujarati recipe  'patra' banao,0
Nomi A,Wao,0
H@rsh Vlogs,Muglai chicken curry recipe,0
DJ Prans mumbai,Ye tawa kaha se leya,0
Prachi Tiwari,iske baad toilet me 3/4 hour spend kijiye ,0
Sabita meher,Jalebi ki recipe pic ,0
CopyCat,Cameraman️️️️️️️,0
Gaming verse,I order this respi,0
Sucheta Varawdekar,Chan.mast..,0
RAJESH PATIL,Supurbb,0
m. t SHARMA,Sir..will make this ..,0
Rizwan Kapadia,Hey where is my brownie recipe,0
Vijay Thakor,રાયતા ની રેશીપી,0
Aman kumar,Jalebi fafda recipe,0
Sanjay,Omg itna Sara butter or oil dosto koi mat khana,0
pallakkk,Aap jo bhi recipe banate ho woh aap hi khate ho?,0
pallakkk,Aap jo bhi recipe banate ho woh aap hi khate ho?,0
Bimla Aggarwal,Bhut bdhiya bne h,0
Rozi Rouf,Bche huve rice ka kuch mazedar recipi btaiye,0
Mohammed.Barkat Ali Khan,-,0
Dipali Saroday,First viewer ️,0
Yogender Kumar,Pulao m haldi dali jaati hai ????,0
Rajiv Rathod,tawa pulao>mutton biryani,0
dairy milk,भाई के पास लगता हे सिर्फ black tshirt ही है,0
SMT STATUS,Abhi jast maine tawa pulao recepie search ki aur apki video samne,0
Mohammed Aftab,Aap ye sab kaha se sika,0
vaijayanti zanpure,Are beta kaunsa tawa use kiya h wo link dena. Badhiya recipe,0
Yashodhan Dere,Present ️,0
kiran sakpal,1st comment...,0
Namita More,very very teasty,0
Akshay Deshpande,"️ खानदेशी वरण बटटी ️
https://youtu.be/xz9wgnIm2Mo",0
Rockstar Baby,Khana bana chhorh do,0
Raza Mughal,"I dont understand why we should invest in sela rice, when the soak time and cook time is longer.",0
notrushi,bhai mat karo aisa,0
Saurav Srivastava,Bhai kya hain ye.... Khana kee name pr बीमारिया..,0
Gautam Bhatia,"es ne to ghappa khichri bna di
Asli Tawa pulao ka link ye raha 
https://www.youtube.com/watch?v=c0BeFR-wMi4",0
The Great Immortal of Illustrious Sagacity,Hindu should not eat garlic and onion!!!!!,0
monika srivastava,apka jawab nhi h,0
DORAEMON AND SHINCHAN MOVIES,First,0
smit kashyap,Bekar,0
47 Ekta_12thD,Y5tu,0
krishna chaudhari,i tried today its come out soo delicious  thanks for sharing delicious and quick easy recipe ,1
Lakshmi Thiruvadi,your recipe is amazing!! thank you for the detailed instructions. Turned out perfect and yummy!!!,1
Gayatri Rao,"Hi Sanjyot!! I made this pulao yesterday ! It turned out delicious !! It was really really good. Instead of potato, I used paneer. It was just amazing!! Thank you so much !! Stay blessed !! 
Trying to post a pic of it, but it’s not letting me!",1
Bucket List,"This was the first recipe I'd tried from YFL ages ago, good to see it back! Everyone at home now thinks I'm a great cook haha but I just follow your recipes, thank you so much!",1
aishwarya bhosale,"Hey Chef, I have followed this same recipe of yours and it turned out awesome. My family enjoyed it a lot! They say we don’t have to eat tawa pulao outside now as the recipe turned so good..Thank you keep making such amazing food ",1
Amazing Ayush,"This was my first recipe to try from YFL, it’s legit phenomenal and so happy to see it back again.",1
Geeta Pillai,Will definitely try it.  Looks so tempting.  Please also post quick healthy and easy snacks recipes to be had in the evening. Your recipes are really inspiring and looking forward to many more ,1
Fathima Nasreen,"Hi chef , I love your recipes, they are amazing. Thank you for sharing tips n tricks as well. Looking forward  for more vegetarians recipes ",1
anagha paradkar,This is the best tawa pulao recipe. Tried it today and it turned out delicious. Everyone in the family enjoyed it.,1
chaitaly joshi,Hii Chef! Tried this recipe today and chilli garlic paste made a huge difference. Everyone loved it. The taste was spot on! #mumbaistreetstyle,1
vasavi rachana,I tried it it's awesome thanks for the best recipe,1
ramsha,Thank you so much for showing the recipe in details and how rice is done ️,1
greesandeep patel,"Hii YFL chef 
I followed your all delicious recipes . My family enjoyed it a lot ! You making such delicious dishes & we love them",1
savita,Mouth watering racipee I like it so much ,1
Shruti Kulkarni,Wow!!! Looks delicious,1
Tejasvi Mundhe,I have tried it and it turned out so delicious and yummy l never cook but only because of ur channel l am  taking interest in cooking and all my dishes turning out so yum u and ur team is amazing ,1
Vineeta ka Kitchen,Very very tasty and delicious pulao recipe thanks for sharing,1
tess blog,Looks delicious ️,1
Malvani Khaji,I tried this tava pulav .I didn't taste it till I made it. But it came out very delicious. It looked  exactly how you made it in the video. My Family enjoyed it very much. Thanks a lot for one more delicious recipe. ,1
Uma Menon,I have always loved your recipes and have tried many of them..if I ever want to cook anything new I'd first search your page because you explain and present everything in a very simplified manner. Much love from NZ. ️,1
Divya Jain,I liked his tawa ...a lot...he does everything with lots of cleanliness...,1
Leena's Yummy Recipies,"Chef tawa pulao looks absolutely delicious
Definitely try it, all your recipes are awesome  ",1
Cook With Asiya,Wow awesome recipe absolutely mouthwatering fantastic recipe well done,1
Rufs,Omg!!!! This is heavenly gooood ,1
sairaj mote,Tried it. Turned out amazing ,1
N&K lifestyles,Wow tawa pulao looks yummy & delicious ,1
Prathmesh Desai,My fav tawa pulav... looks delicious...will try for sure,1
Shradha Nayee,Looks Delicious ,1
Swati Jadhav,Amazing raceipe ️ yummmy ,1
Trixie B,Looks so delicious chef!!,1
Madhuri Bhogale,I never wanted to eat  tawa pulao but now I want to eat it. ,1
TEENA RAKHIA,"Tried YFL style tawa pulao
It’s come out very delicious 
Everyone at home liked it 
Ur videos are amazing n they inspire us to create amazing recipes",1
SAMURAI COOKING 【Japan Food Recipe CH】,Yes!! I would like to try this spicy rice tawa pulao! It'll quite nice to eat in this hot summer!!,1
Ashish Shinde,"One of my favourite food channel. I always love your recipes and make them myself at home, everyone loves the food as it is yummy. Thank you for posting such beautiful and tasty recipes. ️",1
Riya Parab,"I just love your videos, the way the cinematographer shows everyone, its just lovely, and i am sure its might be too good to taste!! I just love yfl, untill now whenever i have cooked seeing recipes from yfl they always always have turned out to be good and restaurant style, never ever disappointed, there was just one time when i shifted to another channel and tried their recipe and it was a disaster, so got back to my roots which is yfl and i am proud to say i am a yfl cook, and a honest viewer!",1
niriksha patel,Looks beautiful colourful..healthy Tawa Pulao..love it.,1
ASHISH KURCCHIYA,By the way I don't like rice but this is marvelous such a delicious yummy tawa pualo ,1
Kamu watkar,Tawa pulao looks so tasty and amazing ...,1
Sheetal Sutar,"I tried this yesterday. Obviously, I didn't have a tava as big as yours, but it still turned out good. Need to perfect my rice-making skills a little, but taste-wise, it was amazing.",1
Manisha Patel,"I have learnt cooking frm you ️
Your recipes are just amazing ",1
Nayana Dongare,Looks so delicious,1
riya mehta,Just made it n we liked it …..never thought it could come out almost same …..will get better next time ……..thanks ,1
Sakshi Mood 💫,Pulao is something i love alot️,1
Veena kakkad,I am absolutely in love with your recipies! Simple and delicious!!!,1
Hershal13,"Looks so delicious as always, will certainly have to try this out.",1
Priya Pandey,It's looks very delicious yummy,1
Krina Shah,"Hi chef, i tried this recipe but it turned out to be little bit spicy , to adjust the spice i have added butter but overall the taste was good",1
Ayesha Ali UAE Vlogs,"Looks so yum yum delicious  
Amazing recipe 
Love from UAE 🇦🇪 ️ ",1
manisha khot,Thank u chef fr such delicious recipe . It's really  look yummy..,1
Jamila Bhavnagarwala,Love your videos...i always search up recipes from your channel....very easy to follow️,1
Sahin Vahora,It's an amazing recipe   Which I tried when my friend comed at my home from USA 🇺🇸,1
PRATIKSHA RODE,Delicious food ,1
NEETA GANDHI,Yummy  looks delicious,1
Shreyash Ganvir,"Firstafall thanks so much for sharing soooo yummy  TAVA PULLAV. Plating,    ,editing everything is fabulous. That's why recipe become next level ️. Once again thanks to the whole YFL team. ",1
Dheeraj Shirodkar,Beautiful and very tasty recipe  .Too yummy ,1
Baldev Thakor,I like the way you represent very easy way with great taste ️,1
Magic World,I have this n it turns yummy ... thank you chef,1
Mala Lohana,Hatts off to u Chef  your recipe and the way you explain    make me so Happy that next day I plan to make the same one ️️️️,1
cartoon art,Hi kee....  Spicy pulao.   Love watching your videos.  Great  quality fantastic recipes  and  always entertaining  Thanks! Keer,1
Nisha Padhy,I m Big fan of ur chef u explain everything so clearly n all ur recipes are very easy  to understandable,1
Mee Time With Mirah,"I have been following you for the last year or so... Before that I used to watch the recipes but i used to think, you really need to talk about it so that we understand things even if you don't really stare at the screen... Now I cannot get my attention away from your videos! It's a complete delight to all the senses. Even smell and taste because that's the magic in our kitchens when we redo your recipes! Love you Chef! Bless you",1
KAUSAR MEMON,Amazing recipe ️️️,1
Prahalada N,Chef your utensils and work area is clean and neat.love to see your preparation.its simple as well.i will surely try tava pulao once.Sujatha prahalada.,1
Rutali Naik,Yummy ,1
Maria Vaz,This recipe is special. Thanks for sharing. God bless you and your family.,1
MbKamath,"Next tym while serving the pulao pls make a small mountain of it..
The best part for me is adding the ingredients using your hand...just hits different...so satisfying!",1
Mehandi Design & Art,"I love tawa pulav. Delicious, spicy",1
Artistsharmi,Looks delicious  ,1
Mital Popat,I tried this turned out very delicious thanks for sharing receipee especially idea of adding lasoon paste is very nice,1
Dimple Saini,"Awesome, mouth watering recipe ",1
Sab S,"I tried this recipe,It was good ...but too spicy ,I made exactly as shown",1
Gspan,"Tried this on the day you posted this this is lit I added some paneer, babycorn and mushroom in pulao it tested like heven",1
manjushri gavali,I tried it's turned out fantastic... Thank you,1
Prateek Singhal,Such fond memories of Bhagwati’s Tawa Pulao comes surfing in.. what nostalgia ️,1
Subham Kumar,Loved it  ,1
Nayara and Zara (Priyanka Mulla),Loved it,1
PARAM SHAGAN,Looks delicious . I will soon cook this for my family. I also tried YFL Style Punjabi Kadi Pakoda and it was really amaaaazing.  Thanks a lot chef.,1
Himanshu Patel,Street style recipes are always delight to watch,1
Nancy Francis,Wow so yummy mouth watering superb,1
Suchita Parab,wow very tasty  Dada,1
Deidre Goodman,Look very delicious   I love different kind of rice recipes ,1
Aparna Maddula,Looks yummy ,1
Binni B,Wow  tempting n mouth watering  Perfect ,1
Aditi Nath,Yummy,1
Cook Something Good,Super delicious & tempting ️,1
Archana Kale,I tried this .. It turned awesome Thankyou YFL ,1
Neeta Chouhan,Awesome  mouthwatering,1
Priti Mehta,Simply superb mouth watering  thank you so much ,1
DStarLoves',"Hello Chef, can you share us the recipe of Rice Noodles, Miso Paste and Potato Starch Noodles. Please",1
pranjali kulkarni,"You everytime use hot water for reciepies ,it's gives good taste, flavour ,and colour means tarrii. ",1
Alok Dikshit,U r encouraging & giving confidence to house wifes to make dishes like this at home only!! Hatts off to ur dedication n video... लाजवाब ,1
Sunita Nair,Yummy yummy recipe ,1
geeta sakpal,Thank you chef for perfect recipe ,1
Anirudh Nair,Delicious ,1
Priti Durgawale,"Aft watching your Instagram story of  coming soon Tawa Pulav, i was eagerly waiting for this recipe, Thank you for sharing recipe. Going to try this on coming Sunday.",1
RISHIKESH JADHAV,Looks delicious bro ,1
Diptee,I m going to make tomorrow ..morning awesome breakfast,1
Multifaceted head,"I visited a cafe few days ago , and I ordered spaghetti aglio e olio there , and it's taste is very hard to forget , I request you to please make a video on that spaghetti please sir",1
Himanshu Jariwala,I see your pav bhaji recipe and after I will make this pav bhaji very delicious nd my family all are enjoy it..... Good,1
Roop patil," Sanjyot sir!!   
Your videos always brings a smile and (gives inner peace too ️ (atleast to me ))
Just making a wish to meet you once in life!!
Lots of love to YFL  ",1
shubhangi Patil,Just amazing yummy  Can we store the remaining red chilli-garlic chutny? If yes then how many days will be remains fresh?,1
Ayush Ninave,U are looking so qt and ur recipe  is too good  really looking so delicious ,1
vikas surve,Back with another yummy recipe superb sir,1
Bhavana shah,So yummy yes Mumbai style tawa pulav perfect recipe ,1
Brinda Shah,Sir....would be great if u teach different types of salads and few tiffin recipes....m waiting for salads  as when guests come we would love to serve them....,1
Venkati B,Yummy yummy  super  ,1
Sharmila Kitchen,Nice recipe ,1
Ritik,Your style and your cooking are top notch.,1
Mehul Patel,Wow so delicious  I try this recipe thank you for sharing,1
Pragya Yadav,It's looks so yummy bhai  lots of love from me and my family,1
ankush malviya,"This is not fair chef
I m alone at home and your receipe...
Like so yummy  I want to eat that only now ",1
Gouri Maski,Aapki cooking bhut tasty  hoti hi thnx share karna ka liya ,1
Shamli Potdar,This recipe is just awesome loved it,1
Jyoti Adukia,"Just love ur recipes.,ur way of cooking.",1
paramita,Just beautiful ,1
Meri Cooking Meri Pehchaan,Wow delicious recipes,1
Anu Awtani,yummy and delicious,1
Shruti Phatak,Superb ️,1
Mansi sunil Shetye,Yummy ,1
Rukhsar Chaudhary,thank you chef for sharing my all time faviorite recipe and thank u for making the process easy and simple,1
Rekha K,Beautiful ,1
Pratibha Koli,Chef. Your all recipes are very nice ,1
Preethi Reddiar,Wow looks soo...tasty.also make the recipe of murg musalam,1
Charu Shirsat,OH my!!! im so ready to open a THEELA now,1
MEN'S KITCHEN🍗🍖,Awesome ,1
Khalid Saeed,"Awesome, you totally rock!!!",1
Hitesh Faldu,"Quick , delicious & easy way . Perfect for monsoon . Superb",1
asmita kokam,Lovely....  Thank you very much sir for sharing such a wonderful recipe...  ,1
Pranav Katwate,Will definitely tryyour cooking and the way you add salt it's really good ,1
Surya Kala,Superb  tempting colour combination,1
Ramila Jethwa,My favorite .......awesome...,1
aliya,I love tawa pulao I definitely try it your recepi is amazing,1
Dipankar Ganguly,Just wow ️️️,1
Vaishali Gaikwad,Thank you very much chef... Most waiting and my all time favorite recipe  u r great sir,1
Adnan Khalifa,Hmmm...So Yummy sir..i love it,1
Sunil Sawalkar,Excellent recipe.  Same as Mumbai street style. Thanks to YFL.,1
Asma vlog,So delicious recipe ,1
shikha shah,Hello sir. I have been following your recipes from way long. I just love all you recipes. I would really like to request you for a veg pad thai recipe. Your recipes are very simplified  and so yummy.,1
Dr. Makrand Chunne,"One most positive change i noticed that , now you dictate recipe while doing it, earlier we have to read below , that distract focus, but now we can fully concentrate on recipe, Thanks for this update",1
Raza Kitchen,"Awesome . You Made Really Great & Nice, Superb. Very Tasty Delicious...",1
vinoth kumar,So delicious this dish.... And I want to join with you sir.....,1
Snehal Hirkur,So yummy ,1
Gamer Griffin,Just mesmerizing <3,1
Suganya,Wow.. A good recipe sanju anna.. Pls do some healthy tasty recipes for kids sanju anna..,1
ARABIC QUEEN,Wow yummy recipe,1
Yogita Yedekar,"Looks yummy i ll definitely try for my son's tiffin he likes very much...
Please share recipe of different types of raita....",1
Gautami Sonar,Sir please make a recipe of kashmiri veg pulao ,1
Irfans Classroom,  yummy,1
Bansuri Vaadak,Chef please upload the recipe for picked cucumber ,1
Shashi Chana,YFL food Best on this planet. YFL YEARLY FOOD LOVED IT'S AWESOME RECIPES. PARMATMA BLESS YOU ALWAYS ️,1
Mithila Maharaj,Superb amazing fabulous recipe … loved it and am surely going to make it,1
Kumud Trivedi,Yummy,1
Pranav Dhokare,"उस चावल को ""मराठी"" में ""शेला""भात (चावल) केहते हैं  उससे अचारी (chef) लोग मसाले भात और पुलाव भी बनाते है वो बहुत अच्छा स्वाद देता हैं आप भी try कर सकते हो
 Have good day",1
Girija Pawar,Awesome,1
Jaya Rathi,Looks yum! Just a question! What if I don’t want to have the chutney separately. Need the measurements of the chutney that goes into making the pulao pls!,1
Ertugul Ghazi,Amazing ,1
Jazzy Taste,Veggie Eastern meals that are full of those colourful and strong spices are my favourite food ever,1
sudarshan dk,Tq chef for sharing this recipe it's a awesome recipe from Bangalore,1
Sitha Kavalur,Wow one of my favourite ,1
Paresh Patil,Best presntatio sanjot Seriously yummy best chef in the world,1
harsha d,Thinking about tawa pulav and YFL posted recipe.... lovely ,1
Payal Shah,I like all your veg recipes,1
Info LinksMex,"NIce recipe Chef Sanjyot, will definitely try.  Which grinder are you using?",1
Jinal,Please make a jain version of this!,1
Hungry Sid,Chef please tell me which mixer do you use.. my mom usually ask me but cannot recognise it in your video.. want to gift my mom this beautiful mixer.. if you read this.. please do let me know! Thank You chef! ,1
Glory Saranoak,Wow awesome yummy,1
Shabbir Nafar,sanjay you are superb in cooking and your rceipes are done and explained step by step,1
chetan gajjar,Yummy ,1
rahul kulkarni,"Dear Sanjyot, tried this Tawa Pulav recipe on the occasion of my sister's birthday..... And believe it iw it was very delicious and more than that we eat on street pav bhaji vendors.... Thanks for the recipe bro ...",1
Mr.kasper BJ,"Any substitute for tawa , like cast iron skillet or Wok ? As both provide high heat and tawa isn't available here !",1
forall1980,"Please make video on kashmiri pulao restaurant style. I'm really missing that. 
Thank you YFL",1
Ramakrishnan Lakshmanan,super duper yummy!!!!!,1
Dipali Saroday,Yummy ,1
The Sisters Cycle,"Awesome yummy  
Happiness is when get a notification of new subscriber it's means alot for us for our family please",1
Vaishali Gandhi,Superb ,1
Chetna Adhiya,Very testy  n. Very beautiful  looking,1
SJB Khana Khajana,Wow delicious ,1
-,I want to eat this one ,1
Nadir Sayyad,But yummy ,1
Chandan Rasal,Yummy yummy yummy and yummy ,1
Dr. Makrand Chunne,"Too tempting, easy yet effective, pulav ke sath chatney ki bhi bonus recipe. I will definitely try it.",1
Alpaben Patel,Very nice Tawa pulav it’s v nice recipe ,1
Harshit Champaneri,Delicious Recipe..,1
Nancy Rabeka,"WOW BAI KAMAL KARTHIYA SUPER 
TODAY I WIL PREPARE FOR DINNER ️",1
monika hatkar,Fabulous ,1
rupa vasani,Delicious and tempting ,1
Sharmila Alexander,Super ,1
cook with afreen,MashaAllah yummy delicious and mouth watering recipe thankx for sharing stay connected ,1
sandhya parbhakar,Yummy food thank you ,1
Sonam Dusad,How do we know?... taste is good or not ?.. YFL should have a Parcel service too ,1
Urvish Poria,"Plz also share recipe of black pav bhaji , black tawa pulav and kothmir masala pav,mumbai also like this ",1
Faraz Ahmed Siddiqui,I like your recipes Videos ,1
Mohini sonawane,I really love ur Voice nd recipe ,1
Sons Favourite Food,"Loving, very amazing",1
Jaimin Patel,So nice I will try at my home ,1
Chetna Thakkar,Awesome    sir,1
Manjra Kulsum,I will try this recipe   your all recipes are great and easy way....,1
traditional kitchen corner with Kanwal urooj,Zabardast recipe very good sharing dear,1
Crasto TERESA,Looks yummy. Will try.  Can you please tell the brand of your mixer grinder,1
Miniature Food,Thanks for sharing this amazing recipe,1
Seema Rajput,Yummy you always rocks Wil try soon ,1
Art By Pallavi ! Easy Rangoli,Lovely ,1
Rezon Rodrigues,Really love Tawa Pulao,1
anjali's recipe,How beautiful are your recipes .....,1
PRIYA MOMAYA,Wow superb yummy Test reacip Thanks sirji ,1
Shamli Potdar,And also make pesto pasta pls your recipe are just perfecf,1
Harsha Joshi,Yummy,1
Shreek222,Does it matter if I use a smaller tawa?,1
14 Mayur Nayak,Please make a video on kanda bajiya   on this monsoon season,1
Whatanapp Drive,wow ,1
D R,Sir I want to purchase salt and pepper boxes which you have in your kitchen. Request you to please provide the link if available online. Also make video on all the items in your kitchen ,1
